Dep Airport Code;Arr Airport Code;Dep Airport Name;Dep IATA Country Code;Dep IATA Country Name;Arr Airport Code;Arr Airport Name;Arr IATA Country Code;Arr IATA Country Name;Dep Region Code;Dep Region Name;Arr Region Code;Arr Region Name;Frequency;Seats Total
AAE;LYS;Annaba;DZ;Algeria;LYS;Lyon St-exupery Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;13;1924
ALG;AMM;Algiers;DZ;Algeria;AMM;Amman Queen Alia International Apt;JO;Jordan;AF1;Africa : North Africa;ME1;Middle East;9;1296
ALG;ETZ;Algiers;DZ;Algeria;ETZ;Metz/Nancy Lorraine;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;18;2826
ALG;LIS;Algiers;DZ;Algeria;LIS;Lisbon;PT;Portugal;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;1084
ALG;LOO;Algiers;DZ;Algeria;LOO;Laghouat;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;17;1122
ALG;MXP;Algiers;DZ;Algeria;MXP;Milan Malpensa Apt;IT;Italy;AF1;Africa : North Africa;EU1;Europe : Western Europe;14;1468
ALG;QSF;Algiers;DZ;Algeria;QSF;Setif;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;16;2536
ALG;TGR;Algiers;DZ;Algeria;TGR;Touggourt;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;18;1188
ALG;TIN;Algiers;DZ;Algeria;TIN;Tindouf;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;22;2770
ALG;YUL;Algiers;DZ;Algeria;YUL;Montreal Pierre Elliott Trudeau Int Apt;CA;Canada;AF1;Africa : North Africa;NA1;North America;14;3832
AMM;ALG;Amman Queen Alia International Apt;JO;Jordan;ALG;Algiers;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;9;1296
AZR;BMW;Adrar;DZ;Algeria;BMW;Bordj Mokhtar;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;22;1452
BJA;CDG;Bejaia;DZ;Algeria;CDG;Paris Charles de Gaulle Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;4;576
BJA;LYS;Bejaia;DZ;Algeria;LYS;Lyon St-exupery Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;9;1332
