Airport Code;Airport Name;IATA Country Code;IATA Country Name;Region Code;Region Name;Seats Total;Flights Total;
AAE;Annaba;DZ;Algeria;AF1;Africa : North Africa;37109;367;
ALC;Alicante;ES;Spain;EU1;Europe : Western Europe;5184;36;
ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;317664;2726;
AMM;Amman Queen Alia International Apt;JO;Jordan;ME1;Middle East;1440;10;
BJA;Bejaia;DZ;Algeria;AF1;Africa : North Africa;14962;130;
BSK;Biskra;DZ;Algeria;AF1;Africa : North Africa;7560;72;
CZL;Constantine;DZ;Algeria;AF1;Africa : North Africa;43914;450;
ETZ;Metz/Nancy Lorraine;FR;France;EU1;Europe : Western Europe;2248;18;
LOO;Laghouat;DZ;Algeria;AF1;Africa : North Africa;1188;18;
LYS;Lyon St-exupery Apt;FR;France;EU1;Europe : Western Europe;24276;182;
MXP;Milan Malpensa Apt;IT;Italy;EU1;Europe : Western Europe;2828;28;
ORN;Oran Es Senia Apt;DZ;Algeria;AF1;Africa : North Africa;78385;672;
QSF;Setif;DZ;Algeria;AF1;Africa : North Africa;21906;196;
TGR;Touggourt;DZ;Algeria;AF1;Africa : North Africa;1584;24;
TIN;Tindouf;DZ;Algeria;AF1;Africa : North Africa;2828;28;
TLS;Toulouse;FR;France;EU1;Europe : Western Europe;4840;36;
YUL;Montreal Pierre Elliott Trudeau Int Apt;CA;Canada;NA1;North America;4842;18;
BCN;Barcelona Apt;ES;Spain;EU1;Europe : Western Europe;5454;54;
FCO;Rome Fiumicino Apt;IT;Italy;EU1;Europe : Western Europe;2626;26;
GHA;Ghardaia;DZ;Algeria;AF1;Africa : North Africa;4026;61;
LIL;Lille Lesquin Airport;FR;France;EU1;Europe : Western Europe;1818;18;
OGX;Ouargla;DZ;Algeria;AF1;Africa : North Africa;3773;38;
PEK;Beijing Capital Intl Apt;CN;China;AS4;Asia : North East Asia;4842;18;
SVO;Moscow Sheremetyevo International Apt;RU;Russian Federation;EU2;Europe : Eastern/Central Europe;404;4;
TEE;Tbessa;DZ;Algeria;AF1;Africa : North Africa;1716;26;
VVZ;Illizi;DZ;Algeria;AF1;Africa : North Africa;1538;18;
BKO;Bamako;ML;Mali;AF3;Africa : Central/Western Africa;1818;18;
ELU;El Oued;DZ;Algeria;AF1;Africa : North Africa;2244;34;
IST;Istanbul Ataturk Airport;TR;Turkey;EU1;Europe : Western Europe;4032;28;
MAD;Madrid Barajas Apt;ES;Spain;EU1;Europe : Western Europe;2626;26;
NCE;Nice;FR;France;EU1;Europe : Western Europe;2970;26;
NKC;Nouakchott;MR;Mauritania;AF3;Africa : Central/Western Africa;1616;16;
ORY;Paris Orly Apt;FR;France;EU1;Europe : Western Europe;67677;400;
BLJ;Batna;DZ;Algeria;AF1;Africa : North Africa;9211;89;
CBH;Bechar;DZ;Algeria;AF1;Africa : North Africa;2942;27;
CDG;Paris Charles de Gaulle Apt;FR;France;EU1;Europe : Western Europe;16678;62;
CMN;Casablanca Mohammed V Apt;MA;Morocco;AF1;Africa : North Africa;4646;46;
FRA;Frankfurt International Apt;DE;Germany;EU1;Europe : Western Europe;3980;36;
LHR;London Heathrow Apt;GB;United Kingdom;EU1;Europe : Western Europe;5472;38;
MRS;Marseille Provence Apt;FR;France;EU1;Europe : Western Europe;29009;196;
TMR;Tamanrasset;DZ;Algeria;AF1;Africa : North Africa;9950;80;
BEY;Beirut;LB;Lebanon;ME1;Middle East;2626;26;
BMW;Bordj Mokhtar;DZ;Algeria;AF1;Africa : North Africa;528;8;
DJG;Djanet;DZ;Algeria;AF1;Africa : North Africa;6931;55;
HME;Hassi Messaoud;DZ;Algeria;AF1;Africa : North Africa;10541;95;
IAM;In Amenas;DZ;Algeria;AF1;Africa : North Africa;2652;22;
INZ;In Salah;DZ;Algeria;AF1;Africa : North Africa;1056;16;
MZW;Mecheria;DZ;Algeria;AF1;Africa : North Africa;1188;18;
TID;Tiaret;DZ;Algeria;AF1;Africa : North Africa;1614;24;
TMX;Timimoun;DZ;Algeria;AF1;Africa : North Africa;3052;42;
BOD;Bordeaux Merignac Apt;FR;France;EU1;Europe : Western Europe;1225;10;
CAI;Cairo;EG;Egypt;AF1;Africa : North Africa;4896;34;
CFK;Chlef;DZ;Algeria;AF1;Africa : North Africa;1152;8;
GVA;Geneva;CH;Switzerland;EU1;Europe : Western Europe;2626;26;
DAM;Damascus;SY;Syrian Arab Republic;ME1;Middle East;3888;27;
DXB;Dubai International;AE;United Arab Emirates;ME1;Middle East;6994;26;
MLH;Mulhouse;CH;Switzerland;EU1;Europe : Western Europe;1440;10;
BRU;Brussels Airport;BE;Belgium;EU1;Europe : Western Europe;1818;18;
GJL;Jijel;DZ;Algeria;AF1;Africa : North Africa;2904;44;
TIP;Tripoli;LY;Libya;AF1;Africa : North Africa;2248;18;
TLM;Tlemcen;DZ;Algeria;AF1;Africa : North Africa;8210;81;
TUN;Tunis;TN;Tunisia;AF1;Africa : North Africa;6658;54;
OUA;Ouagadougou;BF;Burkina Faso;AF3;Africa : Central/Western Africa;808;8;
ABJ;Abidjan;CI;Cote D'Ivoire;AF3;Africa : Central/Western Africa;505;5;
NIM;Niamey;NE;Niger;AF3;Africa : Central/Western Africa;909;9;
ORB;Orebro;SE;Sweden;EU1;Europe : Western Europe;330;5;
DKR;Dakar;SN;Senegal;AF3;Africa : Central/Western Africa;909;9;
